time_sent,time_received,time_elapsed
2023-04-24 21:48:08.204563,2023-04-24 21:48:08.208469,3.906
2023-04-24 21:48:08.206517,2023-04-24 21:48:08.212375,5.858
2023-04-24 21:48:08.210423,2023-04-24 21:48:08.216285,5.862
2023-04-24 21:48:08.216285,2023-04-24 21:48:08.219211,2.926
2023-04-24 21:48:08.216285,2023-04-24 21:48:08.221164,4.879
2023-04-24 21:48:08.220186,2023-04-24 21:48:08.223117,2.931
2023-04-24 21:48:08.222142,2023-04-24 21:48:08.225070,2.928
2023-04-24 21:48:08.224093,2023-04-24 21:48:08.227023,2.93
2023-04-24 21:48:08.226046,2023-04-24 21:48:08.228977,2.931
2023-04-24 21:48:08.227023,2023-04-24 21:48:08.231908,4.885
2023-04-24 21:48:08.229954,2023-04-24 21:48:08.233859,3.905
2023-04-24 21:48:08.232883,2023-04-24 21:48:08.235811,2.928
2023-04-24 21:48:08.234836,2023-04-24 21:48:08.237764,2.928
2023-04-24 21:48:08.236790,2023-04-24 21:48:08.239718,2.928
2023-04-24 21:48:08.238741,2023-04-24 21:48:08.240693,1.952
2023-04-24 21:48:08.241670,2023-04-24 21:48:08.243623,1.953
2023-04-24 21:48:08.241670,2023-04-24 21:48:08.245577,3.907
2023-04-24 21:48:08.243623,2023-04-24 21:48:08.246554,2.931
2023-04-24 21:48:08.245577,2023-04-24 21:48:08.249482,3.905
2023-04-24 21:48:08.247531,2023-04-24 21:48:08.251436,3.905
2023-04-24 21:48:08.249482,2023-04-24 21:48:08.252412,2.93
2023-04-24 21:48:08.251436,2023-04-24 21:48:08.254367,2.931
2023-04-24 21:48:08.253388,2023-04-24 21:48:08.256319,2.931
2023-04-24 21:48:08.255343,2023-04-24 21:48:08.258271,2.928
2023-04-24 21:48:08.257295,2023-04-24 21:48:08.260224,2.929
2023-04-24 21:48:08.259249,2023-04-24 21:48:08.262177,2.928
2023-04-24 21:48:08.261200,2023-04-24 21:48:08.264130,2.93
2023-04-24 21:48:08.263156,2023-04-24 21:48:08.267061,3.905
2023-04-24 21:48:08.265112,2023-04-24 21:48:08.268037,2.925
2023-04-24 21:48:08.267061,2023-04-24 21:48:08.269989,2.928
2023-04-24 21:48:08.269013,2023-04-24 21:48:08.271942,2.929
2023-04-24 21:48:08.270964,2023-04-24 21:48:08.273895,2.931
2023-04-24 21:48:08.271942,2023-04-24 21:48:08.274872,2.93
2023-04-24 21:48:08.273895,2023-04-24 21:48:08.276824,2.929
2023-04-24 21:48:08.275848,2023-04-24 21:48:08.278778,2.93
2023-04-24 21:48:08.277801,2023-04-24 21:48:08.280732,2.931
2023-04-24 21:48:08.278778,2023-04-24 21:48:08.283662,4.884
2023-04-24 21:48:08.281708,2023-04-24 21:48:08.285613,3.905
2023-04-24 21:48:08.284637,2023-04-24 21:48:08.287567,2.93
2023-04-24 21:48:08.286590,2023-04-24 21:48:08.289521,2.931
2023-04-24 21:48:08.288544,2023-04-24 21:48:08.291473,2.929
2023-04-24 21:48:08.290496,2023-04-24 21:48:08.293425,2.929
2023-04-24 21:48:08.292450,2023-04-24 21:48:08.294402,1.952
2023-04-24 21:48:08.293425,2023-04-24 21:48:08.296355,2.93
2023-04-24 21:48:08.295378,2023-04-24 21:48:08.298310,2.932
2023-04-24 21:48:08.297333,2023-04-24 21:48:08.300263,2.93
2023-04-24 21:48:08.299286,2023-04-24 21:48:08.302214,2.928
2023-04-24 21:48:08.301238,2023-04-24 21:48:08.304167,2.929
2023-04-24 21:48:08.303190,2023-04-24 21:48:08.305143,1.953
2023-04-24 21:48:08.304167,2023-04-24 21:48:08.307096,2.929
2023-04-24 21:48:08.306120,2023-04-24 21:48:08.309050,2.93
2023-04-24 21:48:08.307096,2023-04-24 21:48:08.310025,2.929
2023-04-24 21:48:08.310025,2023-04-24 21:48:08.311979,1.954
2023-04-24 21:48:08.311001,2023-04-24 21:48:08.313931,2.93
2023-04-24 21:48:08.311979,2023-04-24 21:48:08.315885,3.906
2023-04-24 21:48:08.315885,2023-04-24 21:48:08.339373,23.488
2023-04-24 21:48:08.316861,2023-04-24 21:48:08.341328,24.467
2023-04-24 21:48:08.341328,2023-04-24 21:48:08.343281,1.953
2023-04-24 21:48:08.342304,2023-04-24 21:48:08.346210,3.906
2023-04-24 21:48:08.344256,2023-04-24 21:48:08.349660,5.404
2023-04-24 21:48:08.350633,2023-04-24 21:48:08.393599,42.966
2023-04-24 21:48:08.351611,2023-04-24 21:48:08.395551,43.94
2023-04-24 21:48:08.394574,2023-04-24 21:48:08.399458,4.884
2023-04-24 21:48:08.396527,2023-04-24 21:48:08.400434,3.907
2023-04-24 21:48:08.399458,2023-04-24 21:48:08.402388,2.93
2023-04-24 21:48:08.401410,2023-04-24 21:48:08.404340,2.93
2023-04-24 21:48:08.403364,2023-04-24 21:48:08.406292,2.928
2023-04-24 21:48:08.404340,2023-04-24 21:48:08.407270,2.93
2023-04-24 21:48:08.406292,2023-04-24 21:48:08.410199,3.907
2023-04-24 21:48:08.408247,2023-04-24 21:48:08.416058,7.811
2023-04-24 21:48:08.411175,2023-04-24 21:48:08.418012,6.837
2023-04-24 21:48:08.417037,2023-04-24 21:48:08.420940,3.903
2023-04-24 21:48:08.418989,2023-04-24 21:48:08.422894,3.905
2023-04-24 21:48:08.422894,2023-04-24 21:48:08.425824,2.93
2023-04-24 21:48:08.424847,2023-04-24 21:48:08.428753,3.906
2023-04-24 21:48:08.427776,2023-04-24 21:48:08.431684,3.908
2023-04-24 21:48:08.429730,2023-04-24 21:48:08.433636,3.906
2023-04-24 21:48:08.432659,2023-04-24 21:48:08.436564,3.905
2023-04-24 21:48:08.434611,2023-04-24 21:48:08.441448,6.837
2023-04-24 21:48:08.437542,2023-04-24 21:48:08.444377,6.835
2023-04-24 21:48:08.442427,2023-04-24 21:48:08.445885,3.458
2023-04-24 21:48:08.445354,2023-04-24 21:48:08.448803,3.449
2023-04-24 21:48:08.446848,2023-04-24 21:48:08.450757,3.909
2023-04-24 21:48:08.448803,2023-04-24 21:48:08.452706,3.903
2023-04-24 21:48:08.451731,2023-04-24 21:48:08.454660,2.929
2023-04-24 21:48:08.453686,2023-04-24 21:48:08.457589,3.903
2023-04-24 21:48:08.455640,2023-04-24 21:48:08.459543,3.903
2023-04-24 21:48:08.457589,2023-04-24 21:48:08.461495,3.906
2023-04-24 21:48:08.459543,2023-04-24 21:48:08.462473,2.93
2023-04-24 21:48:08.461495,2023-04-24 21:48:08.465403,3.908
2023-04-24 21:48:08.464427,2023-04-24 21:48:08.466379,1.952
2023-04-24 21:48:08.465403,2023-04-24 21:48:08.468333,2.93
2023-04-24 21:48:08.467355,2023-04-24 21:48:08.470286,2.931
2023-04-24 21:48:08.469308,2023-04-24 21:48:08.472238,2.93
2023-04-24 21:48:08.471261,2023-04-24 21:48:08.473214,1.953
2023-04-24 21:48:08.472238,2023-04-24 21:48:08.475167,2.929
2023-04-24 21:48:08.474191,2023-04-24 21:48:08.477120,2.929
2023-04-24 21:48:08.476143,2023-04-24 21:48:08.479074,2.931
2023-04-24 21:48:08.477120,2023-04-24 21:48:08.481027,3.907
2023-04-24 21:48:08.479074,2023-04-24 21:48:08.482979,3.905
2023-04-24 21:48:08.482003,2023-04-24 21:48:08.484933,2.93
2023-04-24 21:48:08.483955,2023-04-24 21:48:08.485910,1.955
2023-04-24 21:48:08.484933,2023-04-24 21:48:08.487862,2.929
2023-04-24 21:48:08.486885,2023-04-24 21:48:08.489815,2.93
2023-04-24 21:48:08.488838,2023-04-24 21:48:08.491767,2.929
2023-04-24 21:48:08.490793,2023-04-24 21:48:08.493720,2.927
2023-04-24 21:48:08.492743,2023-04-24 21:48:08.495675,2.932
2023-04-24 21:48:08.493720,2023-04-24 21:48:08.497213,3.493
2023-04-24 21:48:08.495675,2023-04-24 21:48:08.499118,3.443
2023-04-24 21:48:08.498141,2023-04-24 21:48:08.501070,2.929
2023-04-24 21:48:08.499118,2023-04-24 21:48:08.503022,3.904
2023-04-24 21:48:08.502047,2023-04-24 21:48:08.504977,2.93
2023-04-24 21:48:08.504001,2023-04-24 21:48:08.506930,2.929
2023-04-24 21:48:08.505954,2023-04-24 21:48:08.509400,3.446
2023-04-24 21:48:08.507456,2023-04-24 21:48:08.511355,3.899
2023-04-24 21:48:08.510377,2023-04-24 21:48:08.512329,1.952
2023-04-24 21:48:08.511355,2023-04-24 21:48:08.515260,3.905
2023-04-24 21:48:08.513306,2023-04-24 21:48:08.539214,25.908
2023-04-24 21:48:08.536284,2023-04-24 21:48:08.541167,4.883
2023-04-24 21:48:08.540191,2023-04-24 21:48:08.543119,2.928
